City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Isangel,VU,-19.55,169.2667,74.34,89,100,11.18,overcast clouds
160,Teguise,ES,29.0605,-13.564,71.82,73,40,25.32,scattered clouds
161,Trincomalee,LK,8.5711,81.2335,80.02,83,100,7.0,moderate rain
162,Lima,PE,-12.0432,-77.0282,59.9,86,100,8.05,overcast clouds
163,Liwale,TZ,-9.7667,37.9333,71.38,50,100,2.64,overcast clouds
164,Alta Floresta,BR,-9.8756,-56.0861,94.82,24,0,4.61,clear sky
165,Sioux Lookout,CA,50.1001,-91.917,60.87,77,75,9.22,broken clouds
166,Kenai,US,60.5544,-151.2583,68.02,47,0,9.22,clear sky
167,Ambon,ID,-3.6954,128.1814,75.34,94,75,4.61,broken clouds
168,Alvorada,BR,-12.48,-49.1247,91.24,17,28,4.41,scattered clouds
169,Fairbanks,US,64.8378,-147.7164,62.1,63,20,4.61,few clouds
170,Yumen,CN,40.2833,97.2,76.84,13,82,9.42,broken clouds
171,Bengkulu,ID,-3.8004,102.2655,75.29,90,87,5.14,overcast clouds
172,Tyup,KG,42.7276,78.3648,61.52,89,100,2.13,overcast clouds
173,Huangnihe,CN,43.5583,128.0239,63.52,98,61,4.34,broken clouds
174,Vostok,RU,46.4856,135.8833,64.17,95,100,3.36,overcast clouds
175,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,78,20,4.59,few clouds
176,Biak,ID,-0.9131,122.8766,74.84,89,96,7.02,overcast clouds
177,Hermanus,ZA,-34.4187,19.2345,57.63,74,0,13.47,clear sky
178,Castiglion Fiorentino,IT,43.3428,11.918,75.96,76,61,1.3,broken clouds
179,Las Choapas,MX,17.9333,-94.0833,84.52,72,99,4.72,overcast clouds
180,Chau Doc,VN,10.7,105.1167,77.74,88,11,4.72,few clouds
181,Kutum,SD,14.2,24.6667,78.94,49,100,7.2,overcast clouds
182,Kaniama,CD,-7.5667,24.1833,73.33,31,78,1.7,broken clouds
183,Grants Pass,US,42.439,-123.3284,104.36,37,0,4.61,clear sky
184,Maldonado,UY,-34.6667,-54.9167,49.23,81,96,17.27,overcast clouds
185,Palmer,US,42.1584,-72.3287,90.21,58,40,13.8,scattered clouds
186,Salinas,US,36.6777,-121.6555,93.56,63,0,13.8,clear sky
187,Ler,SS,8.3018,30.1418,71.13,96,84,3.85,light rain
188,Borzya,RU,50.3833,116.5167,56.91,69,33,1.81,scattered clouds
189,Fare,PF,-16.7,-151.0167,79.18,72,0,24.72,clear sky
190,Severo-Kurilsk,RU,50.6789,156.125,52.77,92,100,9.06,overcast clouds
191,Micheweni,TZ,-4.9667,39.8333,73.85,82,17,9.17,few clouds
192,Rio Grande,BR,-32.035,-52.0986,59.11,94,100,19.24,overcast clouds
193,Batemans Bay,AU,-35.7167,150.1833,43.84,91,88,5.12,overcast clouds
194,Chilca,PE,-12.5211,-76.7372,61.81,82,61,7.63,broken clouds
195,Mount Gambier,AU,-37.8333,140.7667,33.71,100,7,0.0,mist
196,Lompoc,US,34.6391,-120.4579,90.01,71,0,17.27,mist
197,Alofi,NU,-19.0595,-169.9187,76.89,83,40,14.97,scattered clouds
198,Nome,US,64.5011,-165.4064,57.16,71,0,6.91,clear sky
199,Yulara,AU,-25.2406,130.9889,47.59,34,89,9.66,overcast clouds
200,Pisco,PE,-13.7,-76.2167,64.45,72,40,9.22,scattered clouds
201,Ilulissat,GL,69.2167,-51.1,51.82,62,40,4.61,scattered clouds
202,Prainha,BR,-1.8,-53.48,84.92,59,91,1.68,overcast clouds
203,Muisne,EC,0.6,-80.0333,75.2,82,97,8.37,overcast clouds
204,Guaraniacu,BR,-25.1008,-52.8781,71.53,55,100,4.74,overcast clouds
205,Rurrenabaque,BO,-14.4413,-67.5278,91.29,55,20,4.61,few clouds
206,Medea,DZ,36.2642,2.7539,75.42,57,0,3.96,clear sky
207,Iracoubo,GF,5.4802,-53.2011,81.52,78,87,8.32,overcast clouds
208,Antipino,RU,57.1068,65.7576,61.09,81,49,8.41,scattered clouds
209,Marawi,PH,7.9986,124.2928,69.1,92,100,4.7,overcast clouds
210,Pevek,RU,69.7008,170.3133,39.61,78,94,2.46,overcast clouds
211,Hamilton,US,39.1834,-84.5333,90.0,51,40,11.5,scattered clouds
212,Shasta Lake,US,40.6804,-122.3708,107.76,16,0,3.53,clear sky
213,Krasnyy Chikoy,RU,50.3643,108.7512,47.53,96,35,2.06,scattered clouds
214,Palmeira Das Missoes,BR,-27.8994,-53.3136,66.85,77,100,11.03,heavy intensity rain
215,Thompson,CA,55.7435,-97.8558,75.36,38,20,8.05,few clouds
216,Beyneu,KZ,45.3167,55.2,73.08,68,23,2.75,few clouds
217,Kupang,ID,-10.1667,123.5833,73.69,75,43,12.48,scattered clouds
218,Keuruu,FI,62.2667,24.7,55.8,94,63,6.62,broken clouds
219,Ambilobe,MG,-13.2,49.05,66.67,88,15,3.4,few clouds
220,Gat,IL,31.61,34.7642,83.39,100,0,5.12,clear sky
221,Bandarbeyla,SO,9.4942,50.8122,76.6,81,59,26.87,broken clouds
222,Moree,AU,-29.4667,149.85,42.24,83,0,7.23,clear sky
223,Ahipara,NZ,-35.1667,173.1667,56.3,73,99,10.71,overcast clouds
224,Nanortalik,GL,60.1432,-45.2371,45.43,81,39,6.78,scattered clouds
225,Francavilla Al Mare,IT,42.4206,14.287,81.09,80,47,3.44,scattered clouds
226,Socorro,US,31.6546,-106.3033,95.5,33,40,0.0,scattered clouds
227,Pishin,PK,30.5803,66.9961,74.25,66,100,1.21,overcast clouds
228,Port Hedland,AU,-20.3167,118.5667,57.25,67,0,9.22,clear sky
229,Deputatskiy,RU,69.3,139.9,50.23,55,100,4.29,overcast clouds
230,Svetlaya,RU,46.5389,138.3297,63.84,97,87,2.35,overcast clouds
231,San Andres,CO,12.5847,-81.7006,87.82,66,75,11.5,broken clouds
232,Ribeira Grande,PT,38.5167,-28.7,75.6,69,75,2.3,broken clouds
233,Quebo,GW,11.3333,-14.9333,76.05,87,56,5.61,broken clouds
234,Teplodar,UA,46.5059,30.3252,72.97,58,13,4.7,few clouds
235,Santa Maria Do Para,BR,-1.3503,-47.5756,81.73,79,75,8.79,broken clouds
236,Birjand,IR,32.8663,59.2211,82.87,23,0,11.5,clear sky
237,Zhezkazgan,KZ,47.8043,67.7144,70.29,59,12,14.99,few clouds
238,Seredka,RU,58.1584,28.1858,56.95,91,10,3.65,light rain
239,Prince Rupert,CA,54.3161,-130.3201,64.49,87,0,16.11,clear sky
240,Ondjiva,AO,-17.0667,15.7333,67.08,23,88,3.31,overcast clouds
241,Moba,CN,33.2288,105.0179,58.6,94,17,2.51,few clouds
242,Byron Bay,AU,-28.65,153.6167,49.95,85,0,5.19,clear sky
243,Clyde River,CA,70.4692,-68.5914,39.43,100,100,14.97,light rain
244,Kavieng,PG,-2.5744,150.7967,80.83,79,57,17.34,light rain
245,Jiuquan,CN,39.7432,98.5174,77.23,18,0,11.61,clear sky
246,Cordele,US,31.9635,-83.7824,93.72,43,0,8.05,clear sky
247,San Patricio,US,28.017,-97.5169,100.17,41,61,18.86,broken clouds
248,Leh,IN,34.1667,77.5833,59.29,75,99,3.74,overcast clouds
249,La Union,PE,-5.4,-80.75,83.97,40,4,12.77,clear sky
250,Ngaoundere,CM,7.3167,13.5833,64.36,98,100,2.82,moderate rain
251,Meulaboh,ID,4.1363,96.1285,75.61,89,100,2.19,overcast clouds
252,Cooma,AU,-36.2333,149.1333,30.52,95,28,3.69,scattered clouds
253,Suntar,RU,62.1444,117.6319,65.93,79,0,4.9,clear sky
254,Amazar,RU,53.858,120.875,57.24,98,12,3.38,few clouds
255,Constitucion,CL,-35.3333,-72.4167,58.28,62,0,13.44,clear sky
256,Uusikaupunki,FI,60.8004,21.4084,56.5,79,62,13.27,broken clouds
257,Mitu,CO,1.1983,-70.1733,76.98,79,93,5.23,overcast clouds
258,Ust-Kut,RU,56.7938,105.7672,56.16,99,100,4.34,overcast clouds
259,Kaitangata,NZ,-46.2817,169.8464,41.77,92,100,8.77,overcast clouds
260,Iowa City,US,41.6611,-91.5302,80.15,52,100,7.0,overcast clouds
261,Vardo,NO,70.3705,31.1107,48.18,93,100,18.41,overcast clouds
262,Charlottetown,CA,46.2352,-63.1267,77.56,67,20,9.22,few clouds
263,Tateyama,JP,34.9833,139.8667,78.1,89,100,9.1,overcast clouds
264,Capul,PH,12.4237,124.1811,82.8,79,100,16.44,heavy intensity rain
265,Hit,IQ,33.6416,42.8251,95.9,10,0,10.09,clear sky
266,Luderitz,NA,-26.6481,15.1594,54.52,86,60,2.68,broken clouds
267,Chumikan,RU,54.7183,135.315,54.18,98,100,2.21,overcast clouds
268,Macaubas,BR,-13.0194,-42.6986,81.46,31,0,5.5,clear sky
269,Riyadh,SA,24.6877,46.7219,93.34,36,100,5.23,overcast clouds
270,Denpasar,ID,-8.65,115.2167,76.71,88,40,8.05,scattered clouds
271,Chifeng,CN,42.2683,118.9636,63.59,85,100,2.93,overcast clouds
272,Shetpe,KZ,44.1667,52.1167,74.1,65,0,9.69,clear sky
273,Billings,US,45.7833,-108.5007,88.66,34,20,5.99,few clouds
274,Margate,GB,51.3813,1.3862,64.31,72,100,5.01,overcast clouds
275,Ardesen,TR,41.1911,40.9875,72.23,73,0,3.29,clear sky
276,Flinders,AU,-34.5833,150.8552,50.18,82,55,7.0,broken clouds
277,Laguna,US,38.421,-121.4238,96.15,36,0,6.91,clear sky
278,Castro Verde,PT,37.6983,-8.0858,80.02,52,0,15.66,clear sky
