City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Kavaratti,IN,2022-07-25 20:19:46,10.5669,72.642,81.34,76,19,16.11
173,Nanortalik,GL,2022-07-25 20:19:46,60.1432,-45.2371,42.19,96,100,5.17
174,Nikolskoye,RU,2022-07-25 20:19:47,59.7035,30.7861,62.49,93,100,3.47
175,Tuatapere,NZ,2022-07-25 20:19:47,-46.1333,167.6833,44.89,94,100,12.93
176,Tuktoyaktuk,CA,2022-07-25 20:19:48,69.4541,-133.0374,55.4,76,75,13.8
177,Kota Kinabalu,MY,2022-07-25 20:19:16,5.9749,116.0724,75.18,94,40,5.75
178,Seminole,US,2022-07-25 20:19:48,28.7086,-81.2081,96.28,66,20,11.5
179,Kabompo,ZM,2022-07-25 20:19:49,-13.5927,24.2008,59.94,39,0,5.95
180,Tesalia,CO,2022-07-25 20:19:49,2.4859,-75.7292,73.47,82,99,1.39
181,Coria,ES,2022-07-25 20:19:50,39.9879,-6.5377,84.42,19,0,3.51
182,Katsuura,JP,2022-07-25 20:20:50,35.1333,140.3,78.82,92,91,16.73
183,Antofagasta,CL,2022-07-25 20:20:50,-23.65,-70.4,58.28,75,10,8.63
184,Itarema,BR,2022-07-25 20:20:51,-2.9248,-39.9167,80.38,67,78,16.67
185,Murchison,NZ,2022-07-25 20:20:51,-41.8,172.3333,45.54,98,100,3.04
186,Eastbourne,GB,2022-07-25 20:20:52,50.7687,0.2845,69.12,86,100,3.0
187,Talnakh,RU,2022-07-25 20:16:04,69.4865,88.3972,54.21,87,57,6.71
188,New Norfolk,AU,2022-07-25 20:20:53,-42.7826,147.0587,51.3,88,100,1.41
189,Castro,BR,2022-07-25 20:17:56,-24.7911,-50.0119,69.04,59,86,2.53
190,Coquimbo,CL,2022-07-25 20:20:53,-29.9533,-71.3436,56.93,71,20,6.91
191,Upata,VE,2022-07-25 20:20:54,8.0086,-62.3989,75.2,83,78,0.18
192,Ca Mau,VN,2022-07-25 20:20:54,9.1769,105.15,77.41,92,82,3.06
193,Lingao,CN,2022-07-25 20:20:55,19.9103,109.6859,79.95,84,32,3.31
194,Vila Velha,BR,2022-07-25 20:20:55,-20.3297,-40.2925,75.15,81,0,8.05
195,Safaga,EG,2022-07-25 20:20:55,26.7292,33.9365,86.7,48,0,0.76
196,Emerald,AU,2022-07-25 20:20:11,-23.5333,148.1667,50.14,100,0,0.0
197,Funchal,PT,2022-07-25 20:19:04,32.6333,-16.9,84.83,52,40,13.8
198,Chuy,UY,2022-07-25 20:20:56,-33.6971,-53.4616,59.56,95,100,5.46
199,Lufkin,US,2022-07-25 20:20:57,31.3382,-94.7291,100.83,37,40,5.75
200,Benghazi,LY,2022-07-25 20:20:57,32.1167,20.0667,81.07,76,0,13.24
201,Ostrovnoy,RU,2022-07-25 20:20:58,68.0531,39.5131,51.15,77,61,4.25
202,Baykit,RU,2022-07-25 20:20:58,61.67,96.37,57.54,90,100,3.15
203,Muros,ES,2022-07-25 20:20:59,42.7762,-9.0603,73.09,70,0,9.71
204,Luderitz,NA,2022-07-25 20:20:59,-26.6481,15.1594,57.06,81,23,9.78
205,Sestri Levante,IT,2022-07-25 20:21:00,44.2732,9.3968,82.31,82,0,1.01
206,Hasaki,JP,2022-07-25 20:21:00,35.7333,140.8333,79.29,94,48,14.58
207,Kodiak,US,2022-07-25 20:21:00,57.79,-152.4072,63.91,55,0,14.97
208,Arapongas,BR,2022-07-25 20:21:01,-23.4194,-51.4244,81.27,43,76,2.59
209,Sorland,NO,2022-07-25 20:21:01,67.667,12.6934,55.26,87,96,16.96
210,Hofn,IS,2022-07-25 20:21:02,64.2539,-15.2082,50.77,88,68,6.67
211,Tawang,IN,2022-07-25 20:21:02,27.5833,91.8667,55.08,94,90,1.52
212,Pitimbu,BR,2022-07-25 20:21:03,-7.4706,-34.8086,79.39,78,83,15.41
213,Road Town,VG,2022-07-25 20:21:03,18.4167,-64.6167,86.09,74,40,13.8
214,Grand-Santi,GF,2022-07-25 20:21:03,4.25,-54.3833,81.09,73,97,0.92
215,Kizema,RU,2022-07-25 20:21:04,61.113,44.8302,57.34,80,95,4.5
216,Phetchaburi,TH,2022-07-25 20:21:04,12.9667,99.5833,74.93,92,55,2.51
217,Abeche,TD,2022-07-25 20:21:05,13.8292,20.8324,88.88,49,95,7.67
218,Karratha,AU,2022-07-25 20:16:34,-20.7377,116.8463,63.86,40,2,11.43
219,Lorengau,PG,2022-07-25 20:19:33,-2.0226,147.2712,80.33,80,93,7.94
220,Waipawa,NZ,2022-07-25 20:21:06,-41.4122,175.5153,51.21,96,100,15.21
221,Cumberland,US,2022-07-25 20:21:06,35.0502,-78.8664,93.6,55,20,16.11
222,Margate,GB,2022-07-25 20:18:04,51.3813,1.3862,69.12,76,100,3.0
223,Shizunai,JP,2022-07-25 20:21:07,42.3339,142.3669,66.51,88,0,3.02
224,Ilo,PE,2022-07-25 20:21:07,-17.6394,-71.3375,63.46,77,75,9.22
225,Bokoro,TD,2022-07-25 20:21:07,12.3807,17.0568,89.87,47,97,3.89
226,Melo,UY,2022-07-25 20:18:08,-32.3667,-54.1833,67.24,91,100,9.01
227,Kearney,US,2022-07-25 20:22:08,40.6995,-99.0815,64.56,99,100,5.75
228,Tanete,ID,2022-07-25 20:22:08,-3.9443,119.7848,72.27,92,65,4.12
229,Cap Malheureux,MU,2022-07-25 20:22:09,-19.9842,57.6142,66.47,82,6,15.26
230,Tumarbong,PH,2022-07-25 20:22:09,10.3766,119.4579,79.09,85,96,2.06
231,Port Hardy,CA,2022-07-25 20:22:10,50.6996,-127.4199,69.98,78,20,12.66
232,Rangapara,IN,2022-07-25 20:22:10,26.8167,92.65,76.05,97,100,0.49
233,Cidreira,BR,2022-07-25 20:22:11,-30.1811,-50.2056,63.48,90,39,6.62
234,Awjilah,LY,2022-07-25 20:22:11,29.1081,21.2869,87.31,39,0,15.37
235,Lompoc,US,2022-07-25 20:22:11,34.6391,-120.4579,88.02,69,0,13.8
236,Faya,SA,2022-07-25 20:22:12,18.3851,42.4509,62.71,70,100,2.01
237,Trairi,BR,2022-07-25 20:19:32,-3.2778,-39.2689,79.97,66,97,12.19
238,Ulladulla,AU,2022-07-25 20:18:53,-35.35,150.4667,53.13,90,96,7.58
239,Renqiu,CN,2022-07-25 20:22:13,38.6989,116.0936,76.86,67,100,3.29
240,Ust-Kuyga,RU,2022-07-25 20:22:13,70.0167,135.6,69.78,63,100,2.24
241,Zhuhai,CN,2022-07-25 20:22:14,22.2769,113.5678,88.86,79,20,9.22
242,Banda Aceh,ID,2022-07-25 20:22:14,5.5577,95.3222,76.93,83,100,6.62
243,Saint George,US,2022-07-25 20:18:15,37.1041,-113.5841,95.43,33,0,12.66
244,Rome,US,2022-07-25 20:22:15,34.257,-85.1647,89.91,68,75,3.44
245,Arraial Do Cabo,BR,2022-07-25 20:22:05,-22.9661,-42.0278,73.36,78,0,16.11
246,Basco,PH,2022-07-25 20:22:15,20.4487,121.9702,85.6,75,21,10.27
247,Pangnirtung,CA,2022-07-25 20:19:11,66.1451,-65.7125,52.27,66,31,4.27
248,Bunia,CD,2022-07-25 20:22:16,1.5667,30.25,67.39,76,100,0.38
249,Gat,IL,2022-07-25 20:18:04,31.61,34.7642,80.82,69,0,3.02
250,Moranbah,AU,2022-07-25 20:19:22,-22.0016,148.0466,55.72,91,0,4.9
251,Chkalovsk,RU,2022-07-25 20:22:17,56.7647,43.2433,66.83,86,100,3.33
252,Maragogi,BR,2022-07-25 20:22:17,-9.0122,-35.2225,74.52,78,18,9.82
253,Lerwick,GB,2022-07-25 20:22:18,60.1545,-1.1494,50.0,77,100,23.17
254,Mananara,MG,2022-07-25 20:22:18,-16.1667,49.7667,65.95,92,84,4.85
255,Lahad Datu,MY,2022-07-25 20:22:18,5.0268,118.327,76.06,91,89,2.37
256,Codrington,AU,2022-07-25 20:22:19,-38.2667,141.9667,49.28,71,100,20.74
257,Pevek,RU,2022-07-25 20:22:19,69.7008,170.3133,36.18,81,86,6.53
258,Povenets,RU,2022-07-25 20:22:20,62.8487,34.8262,63.25,74,87,3.44
259,Hohhot,CN,2022-07-25 20:22:20,40.8106,111.6522,68.29,77,0,4.47
260,Mozarlandia,BR,2022-07-25 20:19:50,-14.7447,-50.5706,93.22,19,3,2.13
261,Koshurnikovo,RU,2022-07-25 20:22:21,54.1667,93.3,48.34,97,97,1.36
262,Kumla,SE,2022-07-25 20:22:21,59.1277,15.1434,64.35,94,40,0.0
263,Chino Valley,US,2022-07-25 20:22:22,34.7575,-112.4538,87.51,76,100,6.91
264,Vestmannaeyjar,IS,2022-07-25 20:22:22,63.4427,-20.2734,53.2,75,100,7.72
265,Kasongo-Lunda,CD,2022-07-25 20:22:23,-6.4667,16.8167,82.13,30,84,0.81
266,Biak,ID,2022-07-25 20:22:23,-0.9131,122.8766,74.88,85,91,6.15
267,Pangody,RU,2022-07-25 20:22:24,65.85,74.4859,52.05,68,100,9.57
268,Ola,RU,2022-07-25 20:22:24,59.5833,151.2833,55.38,83,18,1.39
269,Pilar,BR,2022-07-25 20:22:24,-9.5972,-35.9567,75.13,83,95,5.73
270,Diffa,NE,2022-07-25 20:22:25,13.3154,12.6113,94.73,31,15,8.1
271,Saint Anthony,US,2022-07-25 20:22:25,45.0205,-93.218,79.93,40,75,9.22
272,Muzhi,RU,2022-07-25 20:22:26,65.3667,64.6667,53.4,65,94,11.83
273,Pandan,PH,2022-07-25 20:22:26,14.0453,124.1694,79.5,82,97,3.27
274,Hamilton,US,2022-07-25 20:17:42,39.1834,-84.5333,83.25,65,0,10.36
275,Bhinga,IN,2022-07-25 20:22:27,27.7167,81.9333,84.92,64,29,8.79
276,Milas,TR,2022-07-25 20:23:27,37.3164,27.7839,81.75,42,0,4.61
277,Aykhal,RU,2022-07-25 20:23:28,66.0,111.5,62.6,88,48,5.64
278,Ranong,TH,2022-07-25 20:23:28,9.9658,98.6348,77.45,87,87,3.71
279,Borisoglebskiy,RU,2022-07-25 20:21:09,57.2586,39.1508,65.43,87,75,5.88
280,Torbay,CA,2022-07-25 20:23:29,47.6666,-52.7314,76.87,69,75,18.41
281,Nantucket,US,2022-07-25 20:23:30,41.2835,-70.0995,80.71,88,100,16.11
282,Clyde River,CA,2022-07-25 20:23:30,70.4692,-68.5914,44.83,87,75,6.91
283,Axim,GH,2022-07-25 20:23:30,4.8699,-2.2405,74.93,86,92,7.63
284,Taltal,CL,2022-07-25 20:23:31,-25.4,-70.4833,60.55,76,21,5.88
