City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Glace Bay,CA,75.27,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
286,Winneba,GH,75.07,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
287,Vesyegonsk,RU,60.53,overcast clouds,58.664,37.2604,Gostinitsa DELI
288,Tonj,SS,68.68,overcast clouds,7.2737,28.6822,Lakan Hotel
290,Ilek,RU,67.89,few clouds,51.5271,53.3831,Avtostantsiya
294,Maumere,ID,73.31,broken clouds,-8.6199,122.2111,Sylvia Hotel
296,Zunyi,CN,67.89,clear sky,27.6867,106.9072,Bishiluo Hostel
299,Yarega,RU,60.3,few clouds,63.4354,53.5765,
300,Sulecin,PL,64.89,scattered clouds,52.4443,15.1168,Hotel Kormoran Resort & SPA
301,Tikapur,NP,79.86,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
302,Harper,LR,74.8,overcast clouds,4.375,-7.7169,Screensaver
303,Linhares,BR,70.81,broken clouds,-19.3911,-40.0722,Hotel Conceição
304,Jambi,ID,72.99,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
306,Malaya Serdoba,RU,68.52,clear sky,52.4661,44.9512,
309,Sopelana,ES,70.07,clear sky,43.3789,-2.9831,Hotel Modus Vivendi
314,Islamabad,PK,77.85,broken clouds,33.7104,73.1338,Serena Hotel Islamabad
315,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
316,Jiujiang,CN,74.82,overcast clouds,29.7333,115.9833,Tianhai Fashion Theme Hotel
317,Saint-Leu,RE,68.32,broken clouds,-21.15,55.2833,La Caz Oceane
320,Kargasok,RU,61.7,overcast clouds,59.0556,80.8572,Hotel Kargasok
322,Bereda,ES,65.57,few clouds,43.2686,-7.5406,Pazo de Verdes
323,Havre-Saint-Pierre,CA,62.96,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
324,Mitsamiouli,KM,75.94,scattered clouds,-11.3847,43.2844,Foyer ADM
325,Kushima,JP,78.91,broken clouds,31.4583,131.2333,Hanaoka
327,Mogok,MM,66.74,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
328,Marsabit,KE,64.83,broken clouds,2.3284,37.9899,Chicho Hotel
